अंकल	uncle
ऑप्टिकल	optical
ऑफ	off
ऑफर	offer
ऑफलाइन	offline
ऑफिस	office
ऑफिसर	officer
ऑयल	oil
ऑर्केस्ट्रा	orkestra
ऑर्डर	order
ऑल	all
ऑलिव	olive
ओ	o
ओपन	open
ओपेरा	opera
ओम	om
ओर	or
ओवर	over
और	aur
औरत	aurat
औरतों	auraton
औषध	aushadh
कंक्रीट	concrete
कंडक्टर	conductor
कंडीशनर	conditioner
कंडोम	condom
कंपनी	company
कंप्यूटर	computer
कंबोडिया	cambodia
कक्षा	kaksha
कद्दू	kaddu
कपूर	kapoor
कम	kam
कमर्शियल	commercial
कमल	kamal
कमांडर	commander
कमाल	kamaal
कर	kar
करते	karte
करमुक्त	karmukt
कराइ	karai
करीना	kareena
करें	karen
करो	karo
करोगे	karoge
कर्क	kark
कर्तव्य	kartavya
कर्त्तव्य	kartavya
कर्म	karm
कर्मकांड	karmkand
कर्मचारी	karmchari
कर्मियों	karmiyon
कल	kal
कलम	kalam
कलर	colour
कला	kala
कलाकार	kalakar
कलाकारों	kalakaron
कलाकृतियां	kalakritiyan
कलाकृतियों	kalakritiyon
कलिता	kalita
कली	kali
कलेक्टर	collector
कलेक्शन	collection
कल्चर	culture
कल्ट	cult
कल्पित	kalpit
कल्याण	kalyan
कवि	kavi
कहते	kahate
कहा	kaha
कहानी	kahani
कांग्रेस	congress
कांड	kand
कांबले	kamble
काका	kaka
काजल	kajal
काजोल	kajol
काटे	kate
काठमांडू	kathmandu
काम	kaam
कामकाज	kamkaj
कामकाजी	kamkaji
कामना	kamna
कामयाब	kamyab
कामयाबी	kamyabi
कायर	kayar
कार	car
कारण	karan
कार्टून	cartoon
कार्टूनिस्ट	cartoonist
कार्ड	card
कार्डियोलॉजी	cardiology
कार्बन	carbon
कार्य	karya
कार्यकाल	karyakal
कार्यक्रम	karyakram
कार्यालय	karyalaya
काल	kaal
काली	kali
कालीमिर्च	kalimirch
कालु	kalu
कालू	kalu
काले	kale
कावासाकी	kawasaki
काश	kaash
काष्ठ	kashth
कास्टिंग	casting
किंग	king
किंग्स	kings
किए	kie
किक	kick
किचन	kitchen
किट	kit
किटकैट	kitkat
किडनी	kidney
किड्स	kids
कितने	kitne
किताबें	kitaben
किताबों	kitabon
किम	kim
किर	kir
किरदार	kirdar
किरदारों	kirdaron
किलर	killer
किलो	kilo
किलोग्राम	kilogram
किलोमीटर	kilometer
किशन	kishan
किशनपुर	kishanpur
किशनपुरा	kishanpura
किस	kis
किसको	kisko
किसी	kisi
किसे	kise
किस्मत	kismat
किस्से	kisse
की	ki
कीचड़	kichad
कीबोर्ड	keyboard
कुंज	kunj
कुंवर	kunwar
कुमार	kumar
कुमारी	kumari
कुल्लू	kullu
कुशल	kushal
कुशलक्षेम	kushalkshem
कुश्ती	kushti
कृपा	kripa
कृष्ण	krishna
के	ke
केंद्र	kendra
केंद्रबिंदु	kendrabindu
केंद्रीय	kendriya
केंद्रों	kendron
केंसर	cancer
केके	kk
केज	cage
केजरीवाल	kejriwal
केन	can
केन्या	kenya
केमिकल	chemical
केयर	care
केला	kela
केली	keli
केले	kele
केश	kesh
केशव	keshav
केसरी	kesari
कैंटीन	canteen
कैंडी	candy
कैंप	camp
कैंपस	campus
कैंसर	cancer
कैच	catch
कैद	kaid
कैदियों	kaidiyon
कैदी	kaidi
कैप	cap
कैपिटल	capital
कैप्सूल	capsule
कैमरों	cameron
कैलकुलेटर	calculator
कैश	cash
कैसा	kaisa
कैसे	kaise
कॉक	cock
कॉटन	cotton
कॉन्टैक्ट	contact
कॉन्ट्रैक्ट	contract
कॉन्फ्रेंस	conference
कॉन्सर्ट	concert
कॉपर	copper
कॉपी	copy
कॉफी	coffee
कॉम	com
कॉमर्स	commerce
कॉमेडियन	comedian
कॉमेडी	comedy
कॉरपोरेट	corporate
कॉर्न	corn
कॉर्प	corp
कॉर्पोरेट	corporate
कॉर्पोरेशन	corporation
कॉल	call
कॉलम	column
कॉलर	caller
कॉलेज	college
कॉलोनी	colony
कॉस्ट	cost
कॉस्मोपॉलिटन	cosmopolitan
कोई	koi
कोच	coach
कोटी	koti
कोबरा	cobra
कोमल	komal
कोयंबतूर	coimbatore
कोयल	koyal
कोरियोग्राफर	choreographer
कोर्ट	court
कोर्स	course
कोलंबिया	columbia
कोलकाता	kolkata
कोला	cola
कोली	koli
कोल्ड	cold
कोशिश	koshish
कोहली	kohli
कोहिनूर	kohinoor
कौन	kaun
क्या	kya
क्रिया	kriya
क्रियाकलाप	kriyakalap
क्रियाकलापों	kriyakalapon
क्रॉस	cross
क्रोध	krodh
क्लिक	click
क्लिनिक	clinic
क्लिप	clip
क्लीन	clean
क्लीनर	cleaner
क्लीनिक	clinic
क्लीवलैंड	cleanland
क्वालिटी	quality
क्वालीफाई	qualify
क्वालीफायर	qualifier
क्वीन	queen
क्वेश्चन	question
क्षतिग्रस्त	kshatigrast
क्षेत्र	kshetra
खड़ी	khadi
खन्ना	khanna
खर्च	kharch
खली	khali
खांसी	khansi
खाजा	khaja
खान	khan
खानपान	khanpaan
खास	khas
खासियत	khasiyat
खासी	khasi
खिले	khile
खीर	kheer
खुली	khuli
खुले	khule
खूंटी	khunti
खेती	kheti
खेतीबाड़ी	khetibadi
खेतीबारी	khetibari
खेतों	kheton
खेल	khel
खेलकूद	khelkud
खेला	khela
खेली	kheli
खेले	khele
खेलों	khelon
खेसारी	khesari
खो	kho
खोज	khoj
ख्वाजा	khwaja
ख्वाब	khwab
ख्वाबों	khwabon
गंगा	gangaa
गंगे	gange
गंभीर	gambhir
गज	gaj
गणेश	ganesh
गणेशजी	ganeshji
गति	gati
गद्दाफी	gaddafi
गधा	gadha
गम	gam
गरम	garam
गर्दन	gardan
गर्भ	garbh
गर्भधारण	garbhdharan
गर्भपात	garbhpat
गर्भवती	garbhvati
गर्भावस्था	garbhavastha
गर्भाशय	garbhashay
गर्म	garm
गर्मियों	garmiyon
गर्मी	garmi
गर्व	garv
गल	gal
गली	gali
गले	gale
गल्फ	gulf
गवर्निंग	governing
गांधी	gandhi
गांव	gaon
गाना	gana
गाने	gaane
गायक	gayak
गार्ड	guard
गार्डेन	garden
गाल	gaal
गाली	gaali
गाले	gale
गिफ्ट	gift
गियर	gear
गीतों	geeton
गुंटूर	guntur
गुड्डू	guddu
गुण	gun
गुम	gum
गुरूर	gurur
गुर्जर	gurjar
गुलाब	gulab
गुलाम	gulam
गुलामी	gulami
गुवाहाटी	guwahati
गुस्सा	gussa
गुस्से	gusse
गुस्सैल	gussail
गूगल	google
गैरकानूनी	gairkanooni
गैरलाभकारी	gairlabhkari
गैरसरकारी	gairsarkari
गो	go
गोपाल	gopal
गोपीनाथ	gopinath
गोरखपुर	gorakhpur
गोरा	gora
गोरी	gori
गोली	goli
गोलू	golu
गोले	gole
गोवर्धन	govardhan
गोवा	goa
गोविंद	govind
गोविंदा	govinda
गौरतलब	gaurtalab
गौरव	gaurav
ग्रह	grah
ग्रहों	grahon
ग्राउंड	ground
ग्राम	gram
ग्रेजुएशन	graduation
ग्रैंड	grand
ग्रोथ	growth
ग्लूकोमा	glaucoma
घटनास्थल	ghatnasthal
घरेलू	gharelu
घोटाला	ghotala
घोटाले	ghotale
चंडीगढ़	chandigarh
चंद्र	chandra
चंद्रकांता	chandrakanta
चंपा	champa
चंपारण	champaran
चक	chak
चट्टान	chattan
चतुर्थ	chaturth
चतुर्वेदी	chaturvedi
चमत्कार	chamatkar
चर	char
चरण	charan
चर्च	church
चर्म	charm
चल	chal
चलें	chalen
चलो	chalo
चांदनी	chandani
चांदी	chandi
चालीस	chalis
चालू	chalu
चाले	chale
चिरपरिचित	chirparichit
चीजों	chijon
चुटकुले	chutkule
चुनचुन	chunchun
चुनाव	chunav
चूर्ण	churn
चे	che
चैंपियंस	champions
चैंपियन	champion
चैट	chat
चैतन्य	chaitanya
चैन	chain
चैनल	channel
चैरिटेबल	charitable
चैलेंज	challenge
चोली	choli
चौधरी	chaudhari
छ	chh
छंद	chhand
छात्रा	chhatra
छानबीन	chhanbin
छिटपुट	chhitput
जगन्नाथ	jagannath
जन	jan
जनक	janak
जनता	janata
जनमानस	janmanas
जन्म	janm
जन्मतिथि	janmtithi
जन्मदिन	janmdin
जरूरी	jaruri
जलप्रलय	jalpralay
जलविद्युत	jalvidyut
जलसीमा	jalseema
जले	jale
जल्द	jald
जल्दी	jaldi
जाग	jaag
जान	jaan
जानमाल	janmal
जानीमानी	jaanimaani
जाने	jaane
जानेमाने	jaanemaane
जाल	jaal
जिला	jila
जीमेल	gmail
जीव	jeev
जून	june
जूली	julie
जेल	jail
जैम	jam
जैविक	jaivik
जैसलमेर	jaisalmer
जैसे	jaise
जोड़तोड़	jodtod
जोधपुर	jodhpur
जोधा	jodha
जोश	josh
जौनपुर	jaunpur
ज्ञान	gyan
ज्यादा	jyada
ज्योति	jyoti
झटका	jhataka
झटपट	jhatpat
झांकी	jhanki
झांसी	jhansi
झारखंड	jharkhand
झारखंडी	jharkhandi
झूठ	jhooth
टक्कर	takkar
टर्नओवर	turnover
टाइपराइटर	typewriter
टाइफाइड	typhoid
टास्क	task
टीवीसी	tvc
टेरेसा	teresa
टैंक	tank
टैक्स	tax
टैक्सी	taxi
टैग	tag
टैबलेट	tablet
टॉकीज	talkies
टॉप	top
टॉपलेस	topless
टॉर्च	torch
टोली	toli
ट्राम	tram
ट्रायल	trial
ट्रैकिंग	tracking
ट्रैक्टर	tractor
ट्रैफिक	traffic
ट्रैवल	travel
ट्विस्ट	twist
ट्वीट	tweet
ठाकुर	thakur
ठोस	thos
डंडा	danda
डंडे	dande
डबल	double
डबिंग	dubbing
डांस	dance
डाटाबेस	database
डाले	dale
डिजाइन	design
डीजल	diesel
डीजे	dj
डीसी	dc
डेरा	dera
डैम	dam
डॉक्टर	doctor
डॉक्टरों	doctoron
डॉन	don
डोले	dole
ड्रग	drug
ढंग	dhang
तंग	tang
तत्व	tatva
तनातनी	tanatani
तप	tap
तमिलनाडु	tamilnadu
तरंग	tarang
तली	tali
तलेगांव	talegaon
तह	tah
ताइवान	taiwan
ताज	taj
ताल	taal
तालमेल	taalmel
तीर्थस्थल	tirthsthal
तुझे	tujhe
तुम	tum
तुमको	tumko
तुम्हारा	tumhara
तुम्हें	tumhen
तुरंत	turant
तुला	tula
तुलाराम	tularam
तूने	tune
तेज	tej
तेरी	teri
तेरे	tere
तेलुगु	telugu
तैयार	taiyar
तोड़फोड़	todfod
तोले	tole
तौर	taur
त्योहार	tyohar
त्रिआयामी	triaayami
था	tha
थाली	thali
थी	thi
थे	the
दंड	dand
दक्षिण	dakshin
दक्षिणपश्चिम	dakshinpaschim
दक्षिणपूर्व	dakshinpurva
दक्षिणपूर्वी	dakshinpurvi
दखल	dakhal
दबंग	dabangg
दया	daya
दयालु	dayalu
दरभंगा	darbhanga
दरिद्र	daridra
दर्ज	darj
दर्द	dard
दर्पण	darpan
दर्शन	darshan
दलदल	daldal
दांत	daant
दादा	dada
दान	daan
दिग्गज	diggaj
दिनों	dinon
दिया	diya
दिल	dil
दिल्ली	delhi
दिवस	divas
दिवाली	diwali
दीक्षा	diksha
दीक्षित	dikshit
दीवाली	diwali
दुखद	dukhad
दुनियाभर	duniyabhar
दुबे	dube
दुर्ग	durg
दुर्गा	durga
दुर्लभ	durlabh
दे	de
देओल	deol
देख	dekh
देखे	dekhe
देखो	dekho
देती	deti
देवगन	devgan
देवर	devar
देश	desh
देशभर	deshbhar
देशों	deshon
देसी	desi
देहरादून	dehradun
देहाती	dehati
दैनिक	dainik
दोष	dosh
दोहरी	dohari
दोहा	doha
दोहे	dohe
द्वार	dwar
द्वारा	dwara
द्वीप	dweep
धनतेरस	dhanteras
धनबल	dhanbal
धन्य	dhanya
धरपकड़	dharpakad
धर्म	dharm
धर्मनिरपेक्ष	dharmnirpeksh
धर्मपरिवर्तन	dharmparivartan
धर्मशास्त्रों	dharmshastron
धागे	dhaage
धातु	dhaatu
धाम	dhaam
धार्मिक	dharmik
धूप	dhup
धूम	dhoom
धूमधाम	dhumdham
धोखाधड़ी	dhokhadhadi
ध्यान	dhyan
नंगा	nanga
नकद	nakad
नकल	nakal
नक्षत्र	nakshatra
नन	none
नमस्ते	namaste
नया	naya
नर	nar
नरेंद्र	narendra
नर्मदा	narmada
नर्स	nurse
नर्सरी	nursery
नली	nali
नवप्रवर्तन	navpravartan
नवरात्रि	navratri
नववर्ष	navvarsh
नहा	naha
नहीं	nahin
नाइन	nine
नाक	naak
नाग	naag
नागपुर	nagpur
नाना	nana
नापसंद	napasand
नामीबिया	namibia
नारायण	narayan
निज	nij
निबंध	nibandh
नियम	niyam
निरोध	nirodh
निर्णय	nirnay
निर्देशन	nirdeshan
निर्भय	nirbhay
निर्मल	nirmal
निर्मित	nirmit
निर्विरोध	nirvirodh
निश्चय	nishchay
निष्कर्ष	nishkarsh
निसर्ग	nisarg
नीता	neeta
नीतिनिर्धारण	nitinirdhaaran
नुकसान	nuksan
नूतन	nutan
ने	ne
नेचुरल	natural
नेटवर्किंग	networking
नेपाल	nepal
नेपाली	nepali
नॉकआउट	knockout
नोट	note
न्यूज	news
पंकज	pankaj
पंच	panch
पंचायत	panchayat
पंडित	pandit
पक्षी	pakshi
पटना	patna
पतंजलि	patanjali
पति	pati
पत्थर	patthar
पत्रक	patrak
पत्रावली	patravali
पत्रिका	patrika
पदार्थ	padarth
परम	param
परली	parli
परिक्षण	parikshan
परिवर्तन	parivartan
परीक्षा	pariksha
पर्यटक	paryatak
पर्यटन	paryatan
पर्यावरण	paryavaran
पर्व	parv
पर्वत	parvat
पल	pal
पलायन	palayan
पली	pali
पवन	pawan
पवार	pawar
पांच	paanch
पान	paan
पानीपत	panipat
पारेख	parekh
पार्क	park
पार्किंग	parking
पार्टी	party
पार्लर	parlour
पार्वती	parvati
पालिका	palika
पाली	pali
पावक	paavak
पावर	power
पासपोर्ट	passport
पिकअप	pickup
पिक्स	pics
पुणे	pune
पुत्र	putra
पुराण	puran
पुरुष	purush
पुरोहित	purohit
पुलिस	police
पुस्तक	pustak
पूछताछ	poochhtaachh
पूजा	pooja
पूजास्थल	pujasthal
पूर्व	purva
पूर्वा	purva
पृथ्वी	prithvi
पृथ्वीराज	prithviraj
पेंट	paint
पेंशन	pension
पेट	pet
पेट्रोल	petrol
पेन	pen
पेपर	paper
पेरिस	paris
पैक	pack
पैकिंग	packing
पैकेट	packet
पैड	pad
पैदा	paida
पैर	pair
पैरों	pairon
पैसा	paisa
पैसों	paison
पॉल	paul
पोटैशियम	potassium
पोर्ट	port
पोर्टल	portal
पोर्न	porn
पौधा	paudha
पौधे	paudhe
प्याज	pyaj
प्रकार	prakar
प्रकृति	prakriti
प्रजापति	prajapati
प्रणाम	pranam
प्रताड़ित	pratadit
प्रतिभा	pratibha
प्रतिष्ठा	pratishtha
प्रतिष्ठान	pratishthan
प्रतिस्पर्धा	pratispardha
प्रतिस्पर्धी	pratispardhi
प्रत्याशी	pratyashi
प्रथम	pratham
प्रदर्शित	pradarshit
प्रदा	prada
प्रदूषण	pradushan
प्रदेश	pradesh
प्रधानमंत्री	pradhanmantri
प्रभु	prabhu
प्रयोग	prayog
प्रवीण	pravin
प्रशांत	prashant
प्रसंग	prasang
प्रसिद्धि	prasiddhi
प्रांजल	pranjal
प्रियंका	priyanka
प्रिया	priya
प्रीलोडेड	preloaded
प्रेशर	pressure
प्रोग्राम	program
प्रोटीन	protein
प्रोफेशनल	professional
प्रोवाइडर	provider
प्लगइन	plugin
प्लांट	plant
प्लान	plan
प्लानेट	planet
प्लास्टिक	plastic
प्लूटो	pluto
प्लेटफार्म	platform
प्लेटफॉर्म	platform
प्लेस	place
प्लैटिनम	platinum
प्लैन	plan
फतेहपुर	fatehpur
फल	fal
फ़ौज	fauj
फाइनल	final
फिल्म	film
फिल्मी	filmi
फिल्मों	filmon
फुट	foot
फुल	full
फूल	phool
फेडरेशन	federation
फेमस	famous
फेयर	fair
फेरबदल	ferbadal
फेस	face
फेसबुक	facebook
फैक्ट्री	factory
फैट	fat
फैन	fan
फैमिली	family
फैशन	fashion
फोटो	photo
फोटोग्राफर	photographer
फोटोग्राफी	photography
फोन	phone
फोर्ट	fort
फोर्स	force
फ्री	free
फ्रीस्टाइल	freestyle
फ्रैंक	frank
फ्लू	flue
बंका	banka
बंगला	bangla
बंजारा	banjara
बंद	band
बंदर	bandar
बंदूक	banduk
बंधन	bandhan
बंधा	bandha
बकबक	bakbak
बखूबी	bakhubi
बग्स	bugs
बचा	bacha
बचाओ	bachao
बची	bachi
बचे	bache
बचेगा	bachega
बच्चा	baccha
बजरंगबली	bajrangbali
बजे	baje
बड़ा	bada
बढ़ाते	badhate
बढ़ाना	badhana
बढ़ाने	badhane
बढ़े	badhe
बताओ	batao
बताती	batati
बर्ड	bird
बर्तन	bartan
बर्थडे	birthday
बर्फ	barf
बलि	bali
बलिया	baliya
बस	bus
बहन	bahan
बहुआयामी	bahuaayami
बहुजातीय	bahujatiy
बहुभाषी	bahubhashi
बाटा	bata
बात	baat
बादशाह	badshah
बानो	bano
बाप	baap
बाबा	baba
बाम	balm
बायपास	bypass
बार	bar
बारे	bare
बाल	baal
बालक	balak
बालविकास	balvikas
बालिका	balika
बाली	bali
बिग	big
बिजनेस	business
बिजबेहरा	bijbehara
बिलासपुर	bilaspur
बुद्ध	buddh
बुद्धिमता	buddhimata
बुद्धिमत्ता	buddhimatta
बुद्धिमान	buddhiman
बुद्धिमानी	buddhimani
बुला	bula
बुलेटप्रूफ	bulletproof
बेंगलुरु	bengaluru
बेंच	bench
बेटा	beta
बेटी	beti
बेड	bed
बेबी	baby
बेरोजगार	berojgar
बेरोजगारी	berojgari
बेल	bail
बैंक	bank
बैंकिंग	banking
बैंड	band
बैकअप	backup
बैकलेस	backless
बैक्टीरिया	bacteria
बैग	bag
बैचलर	bachelor
बैटरी	battery
बैटल	battle
बैडमिंटन	badminton
बैनर	banner
बैरल	barrel
बैरिस्टर	barrister
बैलेंस	balance
बैसाखी	baisakhi
बॉक्स	box
बॉडी	body
बॉय	boy
बॉर्डर	border
बॉल	ball
बॉलीवुड	bollywood
बॉस	boss
बोन	bone
बोर	bore
बोरा	bora
बोर्ड	board
बोल	bol
बोलचाल	bolchal
बोलना	bolna
बोली	boli
बोलो	bolo
ब्रांड	brand
ब्राह्मण	brahman
ब्रेक	break
ब्रॉड	broad
ब्रोकर	broker
ब्लड	blood
ब्लास्ट	blast
ब्लू	blue
ब्लेंडर	blender
ब्लेड	blade
ब्लॉक	block
ब्लॉकबस्टर	blockbuster
भंडार	bhandar
भंसाली	bhansali
भक्त	bhakt
भक्ति	bhakti
भक्तिभाव	bhaktibhav
भगवान	bhagwan
भजन	bhajan
भट्ट	bhatt
भद्र	bhadra
भरोसा	bharosa
भर्ती	bharti
भा	bha
भांजी	bhanji
भांजे	bhanje
भाई	bhai
भाईचारा	bhaichara
भाईचारे	bhaichare
भाग	bhag
भागलपुर	bhagalpur
भादुरी	bhaduri
भारत	bharat
भारतवर्ष	bharatvarsh
भाव	bhav
भावार्थ	bhavarth
भाषा	bhasha
भाषाविज्ञान	bhashavigyan
भास	bhas
भिक्षु	bhikshu
भीड़भाड़	bheedbhad
भीम	bheem
भुला	bhula
भूकंप	bhukamp
भूगर्भ	bhugarbh
भूभाग	bhubhag
भूमिका	bhumika
भूविज्ञान	bhuvigyan
भूवैज्ञानिक	bhuvaigyanik
भूस्खलन	bhuskhalan
भृगु	bhrigu
भेज	bhej
भेद	bhed
भैंस	bhains
भैंसदेही	bhainsdehi
भैंसा	bhainsa
भैया	bhaiya
भैरव	bhairav
भोगविलास	bhogvilas
भोज	bhoj
भोजन	bhojan
भोजपुर	bhojpur
भोजपुरी	bhojpuri
भोपाल	bhopal
मंगल	mangal
मंजर	manjar
मंजू	manju
मंडल	mandal
मंडली	mandali
मंडी	mandi
मंत्री	mantri
मंत्रीमंडल	mantrimandal
मंदसौर	mandsaur
मंदिर	mandir
मकसद	maksad
मकानों	makanon
मक्खन	makkhan
मक्खी	makkhi
मदर	mother
मध्यप्रदेश	madhyapradesh
मन	man
मनमुटाव	manmutav
मनमोहन	manmohan
मनी	money
मनीष	manish
मनीषा	manisha
मनुस्मृति	manusmriti
मनोरंजन	manoranjan
मनोहर	manohar
मल	mal
मलमूत्र	malmutra
मलयालम	malayalam
मलाल	malal
मलेशिया	malaysia
मल्टीटास्किंग	multitasking
मल्होत्रा	malhotra
मशीन	machine
मस्जिद	masjid
मस्त	mast
मस्तिष्क	mastishk
मस्ती	masti
महंगाई	mahangai
महंगे	mahange
महंत	mahant
महतारी	mahtari
महत्व	mahatva
महाकवि	mahakavi
महात्मा	mahatma
महादेव	mahadev
महाराज	maharaj
महालक्ष्मी	mahalakshmi
महासचिव	mahasachiv
महिलाओं	mahilaon
महेंद्र	mahendra
मां	maa
मांगलिक	manglik
माइक्रोब्लॉगिंग	microblogging
मातापिता	matapita
मात्र	matra
मानव	manav
मानवनिर्मित	manavnirmit
मानवरहित	manavrahit
मानी	mani
मामा	mama
माया	maya
मार	maar
मार्क	mark
मार्कस	marks
मार्किट	market
मार्केट	market
मार्को	marco
मार्क्स	marks
मार्ग	marg
मार्च	march
मार्चिंग	marching
माल	maal
मालिनी	malini
माली	mali
मास्टर	master
मिडवे	midway
मिथुन	mithun
मिनिस्टर	minister
मिर्च	mirch
मिलान	milan
मिलाने	milane
मिली	mili
मिले	mile
मिलो	milo
मीडिया	media
मीणा	meena
मुंडे	munde
मुंबई	mumbai
मुक्त	mukt
मुक्ति	mukti
मुखर्जी	mukharji
मुझे	mujhe
मुड़	mud
मुद्रा	mudra
मुमताज	mumtaj
मुरली	murali
मुर्गा	murga
मुर्गी	murgi
मुशर्रफ	musharraf
मुश्किल	mushkil
मुस्लिम	muslim
मुस्लिमों	muslimon
मूवी	movie
मृत्यु	mrityu
में	mein
मेंबर	member
मेक	make
मेकिंग	making
मेघ	megh
मेट्रो	metro
मेडिकल	medical
मेडी	medi
मेमोरी	memory
मेयर	mayor
मेरी	meri
मेरे	mere
मेल	mail
मेला	mela
मेले	mele
मेहनत	mehnat
मैं	main
मैच	match
मैथुन	maithun
मैनेज	manage
मैनेजमेंट	management
मैनेजिंग	managing
मॉडल	model
मोक्ष	moksh
मोटर	motor
मोटरसाइकिल	motorcycle
मोटर्स	motors
मोटा	mota
मोटापा	motapa
मोड़	mod
मोती	moti
मोतीलाल	motilal
मोदी	modi
मोबाइल	mobile
मोर	mor
मोह	moh
मोहन	mohan
मोहब्बत	mohabbat
मोहम्मद	muhammad
मोहित	mohit
मौत	maut
मौन	maun
मौसम	mausam
मौसी	mausi
यजुर्वेद	yajurveda
यज्ञ	yagya
यदाकदा	yadakada
यम	yam
यह	yah
या	ya
याकूब	yakub
युद्धविराम	yudhviram
युवक	yuvak
यूएसए	usa
यूट्यूब	youtube
यूनिवर्सिटी	university
ये	ye
योगदान	yogdan
योजना	yojana
योद्धा	yoddha
योनि	yoni
यौन	yaun
रंग	rang
रंगबिरंगे	rangbirange
रंगभेद	rangbhed
रंगोली	rangoli
रक्त	rakt
रक्तरंजित	raktranjit
रक्षक	rakshak
रक्षा	raksha
रक्षाबंधन	rakshabandhan
रखे	rakhe
रखें	rakhen
रचा	racha
रण	ran
